Nº Colecção;ISBN;Título;Edição;Autor;Autor 2;Editora;Ano;Género;Idioma;Páginas;Localização;Estado;Valor;Capa (URL);Observações
150-1;9780952745365;Alex Katz;;Katz, Alex;Maculan, Lena;Saatchi Gallery;1998;Pintores;;228;;Disponível;;https://covers.openlibrary.org/b/id/2694214-L.jpg;
150-2;9789726996651;Olhares de Lisboa;;Moura, Albino;Vaz, Rodrigues;Vega;2000;Pintores;;125;;Disponível;;;
150-3;9781851585908;Alberto Morrocco;;Keller, Victoria;Young, Clara;Trafalgar Square Publishing;1994;Pintores;;96;;Disponível;;https://covers.openlibrary.org/b/id/11383093-L.jpg;
150-4;9728392648;Cruzeiro Seixas: Desenho;;Seixas, Cruzeiro;Moura Sobral, Luís de;Casa da Cerca - Centro de Arte Contemporânea;2001;Pintores;Português;79;;Disponível;;;
150-5;9789726351856;Dialogo De Vanguardas;;Molder, Jorge et al.;;Fundacao Calouste Gulbenkian;2006;Pintores;Português;;;Disponível;;;
150-6;9728639007;Mário Cesariny: Pintura e Desenho;;Cesariny, Mário;Fernandes, Maria João;Galeria de Arte António Prates;2001;Artes Plásticas;Português;86;;Disponível;;;
150-7;9780816643820;Alfred Maurer;;Henry Maurer, Alfred;;Frederick R. Weisman Art Museum, University of Minnesota;2003;Pintores;;92;;Disponível;;https://covers.openlibrary.org/b/id/9485903-L.jpg;
150-8;9783775712620;Alfred Kubin;;Kubin, Alfred;Cantz, Hatje;Hatje Cantz;2002;;;143;;Disponível;;https://covers.openlibrary.org/b/isbn/9783775712620-L.jpg;
150-9;9729833222;Alex Katz;;Katz, Alex;;Galeria Mário Sequeira;2002;;;;;Disponível;;;
150-10;390193507X;Alex Katz;;Katz, Alex;Maculan, Lena;La Linea, Galerie Thaddaeus Ropac & Alex Katz;2000;;;;;Disponível;;https://covers.openlibrary.org/b/isbn/390193507X-L.jpg;
150-11;9789898010148;Album de pintura de Amândio Silva;;Silva, Amândio;;Cal.;2006;;;176;;Disponível;;;
150-12;3926318333;Andre Bauchant: 24.04.1873 - 12.08.1958;;Kisters, Jürgen;Braus im Wachter Verlag, Edition;Edition Braus im Wachter Verlag;2000;;;266;;Disponível;;;
150-13;9783851600933;Andreas Reiter Raabe;;;;Schlebrugge.Editor;;;;;;Disponível;;https://covers.openlibrary.org/b/id/9130584-L.jpg;
150-14;3901935304;Anselm Kiefer fur Paul Celan;;Kiefer, Anselm;Thaddaeus Ropac, Galerie;Galerie Thaddaeus Ropac;2005;;;128;;Disponível;;;
150-15;9789729089558;António Cruz;;Castro, Laura;Cruz, António;Árvore;2015;;;;;Disponível;;;
150-16;8492004509;Antonio Lopez;;López-García, Antonio;;Fundacion Fondo de Cultura de Sevilla, (FOCUS);1994;;;266;;Disponível;;;
150-17;9729766509;Alexandre Baptista: Pintura 1990-2000;;Baptista, Alexandre;Pinto de Almeida, Bernardo;Edição do Autor;2000;Artes Plásticas;Português;112;;Disponível;;;
150-18;9789722116978;Armando Alves;;Castro, Laura;Caminho, Editorial;Editorial Caminho;2006;;;34;;Disponível;;;
150-19;9780979482304;Botero in LA;;Botero, Fernando;Gallery, Tasende;Tasende Gallery;2010;;;57;;Disponível;;;
150-20;9788881583126;Armando Testa;;De Angelis Testa, Gemma;Verzotti, Giorgio;Charta;2001;;;238;;Disponível;;https://covers.openlibrary.org/b/id/13291658-L.jpg;
150-21;2868820735;Arnulf Rainer;;Rainer, Arnulf;Lelong, Galerie;Galerie Lelong;2006;;;63;;Disponível;;;
150-22;8434305518;Arranz-Bravo;;Racionero, Luis;;Polígrafa;1988;;;186;;Disponível;;;
150-23;051710427X;Aubrey Beardsley;;;;Random House Value Publishing;1988;;;;;Disponível;;;
150-24;9728392885;O Fio Condutor: O Desenho como Pensamento;;Ribeiro, Ana Isabel;;Casa da Cerca - Centro de Arte Contemporânea;2002;Artes Plásticas;Português;64;;Disponível;;;
150-25;9782706812804;Aragon;;Fouladvind, Hamid;& Larose, Maisonneuve;Maisonneuve & Larose;1997;;;127;;Disponível;;https://covers.openlibrary.org/b/id/2158943-L.jpg;
150-26;9782234050600;Sur Henri Matisse;;Aragon, Louis;;Stock;1999;;;122;;Disponível;;https://covers.openlibrary.org/b/id/2149648-L.jpg;
150-27;0900955570;Avigdor Arikha;;Avigdor Arikha;;Marlborough Gallery;1996;;;38;;Disponível;;;
150-28;9781904372936;Avigdor Arikha;;Arikha, Avigdor;Fine Art (London) Ltd, Marlborough;Marlborough Fine Art (London) Ltd;2011;;;79;;Disponível;;;
150-29;9729147124;D. João IV e os Artistas do Seu Tempo;;Gabinete de História da Cidade;;Câmara Municipal do Porto;1996;História de Arte;Português;143;;Disponível;;https://covers.openlibrary.org/b/id/7544437-L.jpg;
150-30;9781558592452;Francis Bacon (Modern Masters Series, Vol. 9);;Marlais Davies, Hugh;Press, Abbeville;Abbeville Press;1986;;;128;;Disponível;;https://covers.openlibrary.org/b/id/783913-L.jpg;
150-31;9780500202715;Francis Bacon;;Russell, John;and Hudson, Thames;Thames and Hudson;1993;;;208;;Disponível;;https://covers.openlibrary.org/b/id/316053-L.jpg;
150-32;9780500274859;Francis Bacon;;Ades, Dawn;and Hudson, Thames;Thames and Hudson;1985;;;246;;Disponível;;https://covers.openlibrary.org/b/id/10192838-L.jpg;
150-33;9780374104948;Francis Bacon;;Peppiatt, Michael;;Farrar, Straus and Giroux;1997;;;366;;Disponível;;https://covers.openlibrary.org/b/id/222702-L.jpg;
150-34;9780500201695;Francis Bacon (World of Art);;Russell, John;& Hudson, Thames;Thames & Hudson;1979;;;192;;Disponível;;https://covers.openlibrary.org/b/id/7432097-L.jpg;
150-35;0847801888;Balthus;;Balthus;;Rizzoli;1979;;;48;;Disponível;;https://covers.openlibrary.org/b/id/13676442-L.jpg;
150-36;9788417173289;Balthus;;;;Fundación Colección-Thyssen Bornemisza;;;;;;Disponível;;https://covers.openlibrary.org/b/id/13624807-L.jpg;
150-37;9783823854722;The painter's house;;Shinoyama, Kishin;;Schirmer/Mosel;2000;;;85;;Disponível;;https://covers.openlibrary.org/b/id/12195959-L.jpg;
150-38;9788589804028;L'abstraction lyrique dans la peinture de Bandeira;;Bandeira, Antônio;;Expomus;2010;;;95;;Disponível;;;
150-39;9781854379979;Barry Flanagan;;Flanagan, Barry;Pub., Tate;Tate Pub.;2011;;;159;;Disponível;;;
150-40;9780955828577;Barry Flanagan;;Flanagan, Barry;Galleries, Waddington;Waddington Galleries;2010;;;130;;Disponível;;;
150-41;9780955493195;Barry Flanagan Sculptures 2001-2008;;Macnicol, Eona;;;;;;;;Disponível;;;
150-42;0954544153;Linear sculptures in bronze and stone carvings;;Flanagan, Barry;Galleries, Waddington;Waddington Galleries;2004;;;103;;Disponível;;https://covers.openlibrary.org/b/id/15006306-L.jpg;
150-43;2911596005;Jean-Michel Basquiat;;Michel Basquiat, Jean;O'Brien, Glenn;Galerie Enrico Navarra;1996;;;399;;Disponível;;;
150-44;9782876602175;Johann Wilhelm Baur;;Baur, Joh. Wilhelm;de Strasbourg, Musees;Musees de Strasbourg;1998;;;191;;Disponível;;https://covers.openlibrary.org/b/id/2183809-L.jpg;
150-45;9780195097849;Amazing grace;;Adams Leeming, David;University Press, Oxford;Oxford University Press;1998;;;221;;Disponível;;https://covers.openlibrary.org/b/id/122982-L.jpg;
150-46;8448231074;Ben Nicholson.;;Nicholson, Ben;Harrison, Charles;IVAM, Institut Valencia d'Art Modern;2002;;;242;;Disponível;;;
150-47;9788882153557;Benvenuto Benvenuti;;Benvenuti, Benvenuto;;Silvana;2001;;;191;;Disponível;;;
150-48;9781906412234;Bernard Cohen;;Lynton, Norbert;;Flowers;2009;;;240;;Disponível;;https://covers.openlibrary.org/b/id/10733201-L.jpg;
150-49;9789722317443;Bernardo Marques;;Bairrao Ruivo, Marina;Presenca, Editorial;Editorial Presenca;1993;;;198;;Disponível;;;
150-50;3928762753;Joseph Beuys;;Beuys, Joseph;Verspohl, Franz-Joachim;Richter Verlag;1998;;;205;;Disponível;;;
150-51;1885013132;Lehmbruck/Beuys.;;Lehmbruck, Wilhelm;Beuys, Joseph;Michael Werner;1997;;;;;Disponível;;;
150-52;3921375061;Joseph Beuys, Coyote;;Tisdall, Caroline;;Schirmer/Mosel;1976;;;158;;Disponível;;;
150-53;9781558591073;Joseph Beuys;;Stachelhaus, Heiner;Press, Abbeville;Abbeville Press;1991;;;223;;Disponível;;;
150-54;1904372163;A Venetian affair;;Jacklin, Bill;Fine Art, Marlborough;Marlborough Fine Art;;;;36;;Disponível;;https://covers.openlibrary.org/b/id/12657696-L.jpg;
150-55;9780520212602;Bob Thompson;;Golden, Thelma;;Whitney Museum of American Art;1998;;;200;;Disponível;;https://covers.openlibrary.org/b/id/3780290-L.jpg;
150-56;0810900416;Pierre Bonnard;;Fermigier, Andre;;Abrams;1969;;;160;;Disponível;;;
150-57;9780983176930;Fernando Botero;;Nader Fine Art, Gary;Nader Editions, Gary;Gary Nader Editions;2010;;;;;Disponível;;;
150-58;9780810946811;Botero;;Botero, Fernando;Chiappini, Rudy;Cameo/Abrams;1997;;;64;;Disponível;;https://covers.openlibrary.org/b/id/596945-L.jpg;
150-59;9782826400509;Boucher;;Rosenberg, Pierre;du Livre, Office;Office du Livre;1986;;;60;;Disponível;;https://covers.openlibrary.org/b/id/13911289-L.jpg;
150-60;9020915673;Bram Bogart;;Legrand, Francine-Claire;;Lannoo;1988;;;125;;Disponível;;;
